index,RecipeId,Name,AuthorId,AuthorName,CookTime,PrepTime,TotalTime,DatePublished,Description,Images,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions
125819,132240,Prawn Sang Choy Bow,214855,Wendys Kitchen,PT10M,PT15M,PT25M,2005-08-03T18:07:00Z,This is a seafood version of the popular Chinese appetizer of minced pork and vegetables wrapped in lettuce leaves. I also do a vegetarian version which I will post when I find that recipe.,character(0),Chinese,"c(""Asian"", ""< 30 Mins"")","c(""750"", ""1"", ""1"", ""2"", ""2"", ""2"", ""115"", ""1"", ""1/2"", ""2"", NA, ""1/2"", ""6"")","('olive oil', 'spring onions', 'garlic cloves', 'ginger', 'water chestnuts', 'red chili pepper', 'coriander leaves', 'lime, juice of', 'iceberg lettuce')",4.0,1.0,138.2,4.3,0.6,157.5,711.6,6.8,0.8,1.2,17.5,6.0,,"c(""Heat sesame and olive oil in wok over medium heat."", ""Add spring onions, garlic and ginger and cook 1 minute."", ""Turn heat to high and add prawn meat, water chestnuts, chile, coriander root, coriander leaves and black pepper and stir-fry 3 minutes."", ""Remove from heat, season to taste and add lime juice."", ""To serve: with a slotted spoon scoop mixture into lettuce-leaf cups and serve."")"
126050,132478,Thai Style Noodle Salad,214855,Wendys Kitchen,PT5M,PT5M,PT10M,2005-08-08T13:44:00Z,Make and share this Thai Style Noodle Salad recipe from Food.com.,character(0),Thai,"c(""Asian"", ""< 15 Mins"", ""Easy"")","c(""1"", ""600"", ""1/4"", ""2"", ""2"", ""3"", ""2"", ""1"", ""1"", ""1"", ""1"", NA)","('basil', 'mint', 'limes, juice and rind of', 'fish sauce', 'soy sauce', 'brown sugar', 'lemongrass')",,,603.0,4.7,0.9,0.8,680.0,130.1,2.9,3.6,6.0,4.0,,"c(""Heat oil in wok and stir fry rice noodles until soft. Transfer to colander and cool."", ""Combine all other ingredients and toss through noodles."", ""Sprinkle with chopped nuts just before serving."", ""For Vegetarian/Vegan omit the fish sauce."")"
126112,132541,Vegan Niter Kebbeh (Ethiopian Butter),234006,quantumshanti,PT40M,PT1H,PT1H40M,2005-08-08T19:30:00Z,"Niter Kebbeh is essential to Ethiopian cooking, and is great for experimental fusion cooking. You may want to make a berbere spice paste as well.",character(0),African,"c(""Vegan"", ""For Large Groups"", ""Refrigerator"", ""Beginner Cook"", ""Freezer"", ""Stove Top"", ""< 4 Hours"", ""Easy"", ""Inexpensive"")","c(""1/2"", ""1/2"", ""1/4"", ""2"", ""2"", ""1/2"", ""4"", ""1"", ""2"", ""1/8"", ""1/4"", ""1"", NA)","('margarine', 'olive oil', 'onion', 'minced garlic cloves', 'ginger', 'turmeric', 'cardamom seeds', 'cinnamon stick', 'whole cloves', 'nutmeg', 'ground fenugreek', 'fresh basil')",,,153.6,17.1,2.6,0.0,89.6,0.5,0.1,0.1,0.1,24.0,1 lb,"c(""Chop onions."", ""In a soup pot gradually the heat the oil and margarine to bubbling."", ""When the top is covered with foam add the other ingredients and reduce to simmer for 45 to 60 minutes."", ""Take the pot off the heat, and pour through a cheesecloth into a heat-resistant container. Discard the spices and solids."", ""Cover tightly and store in the refrigerator for up to 2 months."")"
127482,133946,Egyptian Red Snapper in Red Pepper Mint Sauce,183964,Pot Scrubber,PT18M,PT2M,PT20M,2005-08-18T19:46:00Z,Make and share this Egyptian Red Snapper in Red Pepper Mint Sauce recipe from Food.com.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/39/46/picLWBHeb.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/39/46/picEwXNYw.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/39/46/picixvT67.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/39/46/piczwZsBl.jpg"")",African,"c(""Very Low Carbs"", ""High Protein"", ""Healthy"", ""High In..."", ""< 30 Mins"")","c(""6"", ""1"", ""1"", ""2"", ""1"", ""1/8"", ""5"", ""1/2"", ""3"")","('red snapper fillets', 'olive oil', 'red onion', 'garlic cloves', 'cayenne', 'mint leaves', 'dried thyme', 'lemon juice')",5.0,8.0,328.6,6.3,1.2,106.4,130.7,4.5,0.9,2.0,60.1,6.0,,"c(""Saute onion in olive oil until golden."", ""Add remaining ingredients (except fish) and simmer 10 minutes."", ""Pour sauce over snapper fillets and bake, covered, in a 350°F oven for 18 minutes."", ""Serve over couscous."")"
127660,134128,10 Minute Szechuan Chicken,209255,Saturn,PT10M,PT20M,PT30M,2005-08-20T13:26:00Z,"Fast and easy is a requirement in my house!  (Updated April 16, 2006 to fix the order of the ingredients.  I also took out the quantity for the oil so that the nutritional information is a little more accurate now.)","c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/41/28/picVdd85u.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/41/28/picNrPKdB.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/41/28/picWJrAzH.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/41/28/picVp1TqK.jpg"")",Chinese,"c(""Asian"", ""Healthy"", ""< 30 Mins"", ""Stir Fry"", ""Easy"")","c(""4"", ""3"", ""1 -3"", ""5"", ""1 1/2"", ""1"", ""1/4"", ""6"", ""1/8"", NA)","('boneless skinless chicken breast halves', 'cornstarch', 'garlic clove', 'soya sauce', 'rice wine', 'sugar', 'water', 'green onions', 'cayenne')",4.5,21.0,184.4,3.1,0.7,75.5,1398.6,9.7,0.8,2.0,27.9,4.0,,"c(""Cut chicken into 1 1/2 inch cubes."", ""Lightly toss with cornstarch in bag to coat."", ""Heat oil in skillet or wok; stir-fry chicken and garlic until lightly browned."", ""Add soy sauce, vinegar, sugar and water."", ""Cover and cook 3 minutes or until chicken is cooked through."", ""Add green onions and cayenne; cook uncovered about 2 minutes longer."", ""Serve over white rice with a side salad for a complete meal."")"
127946,134423,Pad Thai,201614,ChefDebs,PT10M,PT10M,PT20M,2005-08-22T22:15:00Z,"The owners of our favorite Thai restaurant decided to return to Bangkok, Before she left she very kindly shared her recipes with me.",character(0),Thai,"c(""Asian"", ""Healthy"", ""< 30 Mins"")","c(""1"", ""1"", ""2"", ""2"", ""3"", ""1/2"", ""1/2"", ""1/2"", ""2"", ""1"", ""4"")","('egg', 'white vinegar', 'fish sauce', 'sugar', 'paprika', 'water', 'bean sprouts', 'unsalted dry roasted peanuts', 'chicken breast', 'shrimp')",4.0,5.0,674.7,14.6,3.5,170.4,771.8,105.3,3.2,7.8,27.2,2.0,,"c(""Soak the rice sticks in cold water for 2 hours Drain."", ""Put some oil in a wok and add rice sticks, vinegar, fish sauce, sugar, paprika and water and stir fry for 5 minutes."", ""Add the chicken,bean sprouts and shrimp and stir fry for a further 3 minutes."", ""Put on a serving plate and garnish with the chopped peanuts."")"
128644,135150,Moroccan Vegetable Couscous,229962,KmartKlutz,PT15M,PT10M,PT25M,2005-08-26T23:47:00Z,"Couscous has been a staple in North Africa for years. It’s becoming popular here, partly because it cooks quickly.
From Cooking at a Glance - Vegetables &amp; Grains.",character(0),African,"c(""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""< 30 Mins"", ""Easy"")","c(""1"", ""2"", ""2 1/2"", ""1 1/4"", ""1 1/4"", ""8"", ""5"", ""6"", ""1"", ""1/4"", ""1/4"", ""1/4"", ""1/8"", ""4"")","('olive oil', 'onions', 'green peppers', 'carrots', 'zucchini', 'cabbage', 'chopped tomatoes', 'fresh coriander', 'parsley', 'salt', 'ground cardamom', 'caraway seed', 'ground turmeric', 'couscous')",4.0,1.0,126.7,3.0,0.5,1.2,167.3,20.9,2.5,3.3,4.4,6.0,,"c(""In a medium saucepan heat olive oil. Cook onion, pepper, carrot, and zucchini in hot oil for 5 minutes. Stir in stock, cabbage, tomatoes, coriander or parsley, salt, cardamom, caraway, and turmeric. Bring to boiling; reduce heat. Cover and simmer for 10 minutes. Uncover; stir in couscous. Remove from heat; let stand, covered, for 5 minutes. Uncover and fluff with a fork."", ""Meanwhile, for sauce, stir together yogurt or sour cream, mayonnaise, milk, basil, thyme, salt, and pepper."")"
128766,135283,Grilled Shrimp Pili Pili,47559,PanNan,PT4M,PT30M,PT34M,2005-08-29T19:39:00Z,"This recipe from Mozambique is posted for the World Tour 2005. I haven't had time to try it yet, but know we'll enjoy it soon.
The source is The Africa Cookbook - Tastes of a Continent by Jessica B. Harris.
Note: the term pili pili refers to the hot chile.  This recipe does require marinade time which is not included in the time listed.","c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/52/83/pictHIdgf.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/52/83/picVRxHK2.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/52/83/piccaFQLw.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/52/83/picyEgtRf.jpg"")",African,"c(""Very Low Carbs"", ""High Protein"", ""High In..."", ""Spicy"", ""Broil/Grill"", ""< 60 Mins"", ""Oven"")","c(""2"", ""1"", ""4"", ""2"", ""2/3"", NA, NA, ""1"")","('large shrimp', 'garlic cloves', 'lemon juice', 'salt', 'pepper', 'lemon')",5.0,2.0,571.5,40.0,6.8,345.6,338.0,6.7,1.4,0.2,46.7,,,"c(""Shell, devein and wash shrimp, leaving tails intact.  Dry thoroughly on paper towels."", ""In a small bowl, combine the chile, garlic, lemon juice, salt and pepper to taste, and the peanut oil."", ""Place shrimp in a large bowl, and pour the oil mixture over the shrimp, coating the shrimp well.  Cover bowl, and place in the refrigerator at least three hours, and stir occasionally."", ""Preheat the broiler (or grill).  Remove the shrimp from the marinade and place in a single layer on a tray under the broiler, or in a grill basket for the grill.  Cook about 2 minutes per side, until the shrimp are pink."", 
""Serve with hot rice and garnish with a lemon quarter."")"
129337,135878,Yellow Curry Paste,225021,tigerduck,PT1H15M,PT10M,PT1H25M,2005-09-01T10:47:00Z,"I love making my own curry pastes for my favourite Thai curries. Yellow Curry Paste is milder than Red or Green Curry Paste because it contains less chillies. Curry powder and turmeric make the paste yellow. Different to the Red and Green Curry Paste it also contains cinnamon but no coriander roots. This paste keeps for two weeks in the fridge but it also freezes well. Just wrap some of the paste (say 2-3 tablespoons) in tinfoil, label, and freeze. This way, you will always have curry paste and it can even be used frozen (well, that's at least what I sometimes do). The recipe comes from Madhur Jaffreys Ultimate Curry Bible and she got it from the Grand Hyatt Erawan in Bangkok. This paste is enough for two dishes of pork, beef, chicken, prawns, squid, fish, crabs, lobster meat or hard-boiled eggs. For a Red Curry Paste see recipe #133926.","""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/58/78/jKAV6yzTwiCsYlghpeGD_2015-01-18%2019.51.11.jpg""",Thai,"c(""Asian"", ""Refrigerator"", ""Freezer"", ""< 4 Hours"", ""Easy"", ""Inexpensive"")","c(""7"", ""5"", ""1"", ""10"", ""1"", ""1/2"", ""1"", ""1/2"", ""1"", ""1/2"", ""1/2"", ""1/2"")","('shallots', 'fresh lemongrass', 'garlic cloves', 'fresh ginger', 'white pepper powder', 'curry powder', 'ground cumin', 'ground coriander', 'ground cinnamon', 'shrimp paste', 'anchovies', 'ground turmeric')",5.0,2.0,23.7,0.2,0.0,0.0,3.7,5.3,0.6,0.2,0.8,8.0,10 tablespoons,"c(""Soak the red chillies in 5 tablespoons hot water for 1-2 hours. (You could also put them in a microwave oven for 2-3 minutes and then let them sit for 20-30 minutes.)"", ""Put the chillies, together with their soaking liquid, into a blender along with all the remaining ingredients in the order listed."", ""Blend, pushing down with a rubber spatula as many times as necessary, until you have a smooth paste."", ""What you do not use immediately should be refrigerated or frozen."")"
130643,137221,Khai Luk Koei  (Son-In-Law Eggs),229940,grovinchicken,PT15M,PT15M,PT30M,2005-09-13T11:38:00Z,"Once upon a time in Thailand, a Son-in-Law wanted to impress his mother-in-law, so he created these eggs. These Deep-Fried, Hard-boiled eggs sauced with an almost saffron-colored combination are absolutely unique, Wonderful to taste, and perfectly beautiful on a plate. Be careful when frying them. Use a splatter screen to avoid the hot oil that sputters up when the eggs are added, and a metal spatula and wooden chopsticks to turn them in the oil-they have a tendency to stick.  This recipe is from the book The Best of Thailand.",character(0),Thai,"c(""Asian"", ""Brunch"", ""< 30 Mins"")","c(""2"", ""1/4"", ""1/2"", ""1"", ""4"", ""3"", ""3/4"", ""3"", ""1/2"", ""2"", NA, NA)","('tamarind pulp', 'warm water', 'hard-boiled eggs', 'shallots', 'salt', 'palm sugar', 'cornstarch', 'water', 'fresh chili pepper', 'coriander sprig')",,,620.9,59.9,8.7,212.0,501.9,16.3,0.5,14.3,6.7,4.0,,"c(""Soak dried chilis in warm water to cover until just softened."", ""Drain and discard water."", ""Finely shred chilis and set aside."", ""strain tamarind pulp save juice."", ""In a small sauce pan large enough to fit the eggs, heat oil over medium-high heat.carefully add eggs and fry 1-2 minutes turning carefully, until golden brown."", ""Remove with slotted spoon to paper towels to drain."", ""Remove all but 2 tablespoons of oil from pan."", ""Add 2/3 of the shallots and stir-fry for 1-2 minutes or until crispy."", 
""Remove with slotted spoon to paper towel to drain."", ""Add chilis and stir-fry 30 seconds or until crispy."", ""Remove with slotted spoon to paper towel to drain."", ""Remove all but 1 tablespoon from pan."", ""Add remaining shallot and stir-fry 1  minute."", ""Add tamarind juice and salt, bring to a boil."", ""Add sugar and cook stirring constantly until just combined."", ""Add corn starch mixture and cook 1 minute or until slightly thickened."", ""Halve eggs and place on a small platter. sprinkle with fried shallots and chilis."", 
""Drizzle the sauce over eggs and garnish with fresh chili and coriander sprigs."")"
130661,137241,5 Minute Thai Shrimp Satay,149363,Leslie,PT4M,PT5M,PT9M,2005-09-13T13:08:00Z,"This is a fast and easy recipe that will fool everyone into thinking you have spent a long time in the kitchen!
From the Kraft What's Cooking Book.
Hope you enjoy!","""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/72/41/picmANGwD.jpg""",Thai,"c(""Asian"", ""Lactose Free"", ""Free Of..."", ""Brunch"", ""< 15 Mins"", ""Beginner Cook"", ""Easy"")","c(""1"", ""1/4"", ""1/3"", ""1"", ""1"", NA)","('shrimp', 'low-fat peanut butter', 'water', 'reduced sodium soy sauce', 'chili powder')",4.0,1.0,122.9,2.0,0.4,172.8,318.3,1.4,0.0,0.1,23.3,4.0,,"c(""Thread shrimp onto skewers."", ""Mix peanut butter, salad dressing until smooth."", ""Stir in water and soy sauce."", ""Brush 1/2 of sauce on shrimp."", ""Grill or broil for about 3-5 minutes or until shrimp becomes opaque."", ""Serve with remaining sauce for dipping."", ""NOTE: If using wooden skewers be sure to soak for 1 hour beforehand."")"
130782,137364,Perfect Basic White Rice,209747,Mamas Kitchen Hope,PT20M,PT0S,PT20M,2005-09-13T15:50:00Z,You do not need to be afraid of cooking rice again! lol Real rice is so much better for you than instant. So here is a basic recipe that will have you cooking rice like a pro! Check out the options too! Your friends and family will think you're a star!&nbsp;,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/73/64/4mN6Zjh5SNmTNKFsca1D_0S9A2673.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/73/64/lUKRb9EgTlmsXBI96l4V_0S9A2668.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/73/64/TKPMxMJR3mw8Tn1HFovC_0S9A2662.jpg"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/137364/FcP0SsPQLcclkG5Jn7NA_15016585130511647353849.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/73/64/01500317488.jpeg"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/137364/g1MxTnhQ1GW4Q5cWvtow_IMG_6282.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/73/64/piczr1OnH.jpg"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/137364/DokSxIekS9uyIU6JbB8N_15232905382992205280562885072212.jpg"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/137364/6v8QgAZKTUS7GUXWcJE8_IMG_0559.JPG"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/73/64/pic0IaXdT.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/73/64/picPHafz6.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/73/64/pic9wSme1.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/73/64/picayZhTL.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/73/64/piclRwWps.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/73/64/picH3z0lL.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/73/64/picKYFusG.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/73/64/picSjvrXk.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/73/64/pic25DrUf.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/73/64/picVKSSOM.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/73/64/pic8X3RmI.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/73/64/picqC0LEo.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/73/64/pict8QMD0.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/73/64/picPDXhkr.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/73/64/pic9XX024.jpg""
)",Chinese,"c(""Asian"", ""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""< 30 Mins"", ""Easy"", ""Inexpensive"")","c(""1"", ""2"", ""1"", ""1"", ""1/2"")","('long grain rice', 'water', 'salt', 'butter', 'white vinegar')",5.0,173.0,168.8,0.3,0.1,0.0,587.2,37.0,0.6,0.1,3.3,4.0,,"c(""In a saucepan with a good fitting lid bring water, salt and optional ingredients if desired to a boil.  The salt and butter are simply for flavor. The vinegar keeps your grains separated and gives you a prettier dish. No one will taste the vinegar at all!"", ""Add rice and stir."", ""Cover and reduce heat to low. You will know that your temperature is correct if a little steam is visible leaking from the lid. A lot of steam means your heat is too high."", ""Cook for 20 minutes."", ""DO NOT LIFT LID!"", 
""The steam that is trapped inside the pan is what allows the rice to cook properly."", ""Remove from heat and fluff with fork."", ""Serve!"")"
130834,137416,Chinese Salad,237684,Tommy2025,,PT30M,PT30M,2005-09-14T04:55:00Z,Make and share this Chinese Salad recipe from Food.com.,character(0),Chinese,"c(""Asian"", ""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""< 30 Mins"")","c(""1"", ""2"", ""1"", ""2"", ""1"", ""1/4"", ""100"", ""6"")","('eggplant', 'zucchini', 'green pepper', 'bean sprouts', 'lettuce', 'soy sauce', 'walnuts', 'garlic cloves')",,,1144.9,69.1,6.8,0.0,4393.8,110.9,47.3,41.4,55.4,1.0,,"c(""Cut the lettuce to thin strips, add 3 crushed garlic teeth, a little salt (not too much because the soy sauce is salty), a little vegetable oil, mix and place in bowl."", ""Make a niche in the middle."", ""Toss (fry) the sprouts (about 5 minutes)."", ""After filtering the oil add sprouts to the bowl in the niche. Create another niche so that there is a circle of lettuce and a circle of sprouts."", ""Fry the pepper, eggplant, and zucchini, until soft, and place in the niche."", ""Scatter 3 garlic teeth on top."", 
""Fry the walnuts for about 4 minutes and scatter on top."", ""Pour on soy sauce and serve."")"
130869,137452,Peanut Hoisin Dip,229940,grovinchicken,,PT5M,PT5M,2005-09-14T10:35:00Z,This recipe comes froma  great book called &quot;365 Ways To Cook Chinese&quot; by Rosa Lo San Ross.,character(0),Chinese,"c(""Asian"", ""< 15 Mins"", ""Small Appliance"", ""Easy"")","c(""1"", ""1/2"", ""2"", ""1"", ""1"", ""2"", ""1"")","('scallion', 'crunchy peanut butter', 'hoisin sauce', 'soy sauce', 'lemon juice', 'Tabasco sauce')",,,974.2,79.2,12.6,1.0,2181.7,46.7,11.9,21.0,34.4,,1 cup,"c(""In a food processor, coarsley chop scallion."", ""Add peanut butter, hoisin sauce, soy sauce, sesame oil, lemon juice and tabasco."", ""Process untill smooth."", ""This sauce keeps well, covered and refrigerated , for 2 weeks."")"
131123,137711,Cold Chili Orange Noodles,182010,Chef Kate,PT15M,PT20M,PT35M,2005-09-16T14:58:00Z,"A lovely side dish, or, with the addition of some shrimps or Chinese roast pork slices, a great lunch.  You'll have some extra dressing--but it won't go to waste.","c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/77/11/KSun7vlUT1eZKI1YPVXw_orange%20noodles.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/77/11/vGuAo1S8TeWpYtIowqSo_orange%20noodles.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/77/11/DguLORmQ8G9mWQqFyh7K_DSC_0595.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/77/11/picFcUeN5.jpg""
)",Chinese,"c(""Asian"", ""< 60 Mins"")","c(""1"", ""1"", ""1"", ""2/3"", ""2"", ""3"", ""12"", ""1"", ""4"", ""3"", ""2"", ""2"", ""3"")","('black soy sauce', 'cider vinegar', 'granulated sugar', 'kosher salt', 'oranges, zest of', 'bean sprouts', 'carrots', 'scallions', 'cilantro', 'roasted peanuts')",5.0,12.0,610.6,12.5,2.2,71.8,7702.0,102.4,4.6,37.4,22.6,,,"c(""For the Sauce:"", ""Combine all the ingredients for the sauce in a blender and puree for thirty seconds."", ""Place sauce in a jar and keep, covered, in the fridge."", ""For the Noodles:"", ""Cook noodles according to package directions until al dente."", ""Remove from boiling water and shock in ice water and drain again."", ""Toss noodles with sesame oil."", ""Blanch bean sprouts in boiling water (from the pasta) and shock them in ice water."", ""When ready to Serve:"", ""Place noodles in bowl and toss with 1/4 cup of Chili-Orange Sauce."", 
""Add bean sprouts and carrots and toss again."", ""Add additional sauce if necessary but don't overdo."", ""Mound noodle mixture in the center of a serving bowl and garnish with nuts, scallions and cilantro."")"
131394,137991,Tam Taeng ( Cucumber Salad),229940,grovinchicken,PT5M,PT5M,PT10M,2005-09-20T08:36:00Z,"The Thais, like other people who live in hot climates, are quick to appreciate the refreshing qualities of the cucumber. This simple salad is very popular and very rarely varied. Scouring the cucumbers decoratively, as the Thais would do, makes this dish visually alluring. This recipe comes from a great little book called 'The Best of Thailand'.",character(0),Thai,"c(""Asian"", ""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""Summer"", ""< 15 Mins"", ""Inexpensive"")","c(""2"", ""1"", ""1 1/2"", ""1/4"", ""1/2"", ""1"", ""1"", ""2"")","('cucumbers', 'lime, juice of', 'sugar', 'nam pla', 'red onion', 'red chili pepper', 'green chili pepper', 'plum tomatoes')",3.0,1.0,55.7,0.3,0.1,0.0,1424.2,12.7,1.6,7.3,2.7,,,"c(""Cut cucumber halves into 2-inch long sections, then cut each section into 1/4-inch thick strips or thick matchsticks."", ""Place cucumbers in a bowl."", ""Add the lime juice, sugar, and Nam Pla and toss gently until well combined."", ""Add onion, chilies and tomatoes and toss gently until well combined."", ""Garnish with whole chilies and coriander sprigs."")"
131396,137993,Nam Prik Panaeng  (Panaeng Curry Paste),229940,grovinchicken,PT5M,PT15M,PT20M,2005-09-20T08:37:00Z,"This is the paste that defines a Panaeng curry and, like the other Thai sauces, lends itself to advance preparation. This version is HOT, but not overwhelmingly so and achieves a very successful balance of the sweet, salty, and sour tastes that distinguish the cooking of Thailand. This recipe comes form a book called &quot;The Best of Thailand&quot;.",character(0),Thai,"c(""Asian"", ""< 30 Mins"")","c(""12"", ""2"", ""2"", ""4"", ""2"", ""1"", ""2"", ""1"", ""1 -2"")","('lemongrass', 'shallots', 'garlic cloves', 'salt', 'galangal', 'shrimp paste', 'water')",,,115.3,1.6,0.1,0.0,3509.0,25.3,5.2,3.9,4.3,,2/3 cups,"c(""Soak chilis in warm water to cover about 1 hour or until just softened."", ""Drain and discard water."", ""In a food grinder, process chilis, lemongrass, shallots, garlic coriander seeds, salt, galangal, and shrimp paste until smooth."", ""Gradually add 1 to 2 tablespoons water to assist in the blending."", ""The paste should be smooth but not wet."", ""Store in a airtight container in the refrigerator 1 to 2 weeks, or frozen up to 6 months."")"
131421,138021,Chinese Style Ginger Shrimp by Dinah Shore  1978,106624,andypandy,PT3M,PT15M,PT18M,2005-09-20T08:49:00Z,"This is a recipe that I have been making for a long time now, its one by Dinah Shore, and is very fast easy and great.  Give it a try.",character(0),Chinese,"c(""Asian"", ""Spicy"", ""< 30 Mins"", ""Stove Top"", ""Stir Fry"")","c(""1"", ""1 1/2"", ""1/2"", ""1/4"", ""1/4"", ""2"", ""1/4"", ""1/4"", ""1"", ""2"", ""1"", ""2"")","('medium shrimp', 'cornstarch', 'salt', 'onion', 'green onion', 'fresh ginger', 'tomato ketchup', 'granulated sugar', 'dry sherry')",,,1135.3,110.2,18.7,173.2,650.2,11.9,0.4,7.6,24.0,,,"c(""Halve the clean deveined shrimp lengthwise."", ""Combine the cornstarch and salt in a small bowl, and sprinkle evenly tossing shrimp."", ""Add oil to wok and heat to 375 degrees F. Deep fry shrimp for one minutes, and then remove to paper towels to drain."", ""Pour off all the oil into a stainless pot, to cool for further use."", ""Add 2 tablespoons of the peanut oil back into wok, add both the cooking onion and the green onions, and ginger,and  stir fry for one minute over medium high heat."", ""Increase heat to high now and add the ketchup, stock and sugar, bring to a boil, stirring all the time."", 
""Add now the cooked shrimp, chili paste and sherry,  stir fry briskly for about thirty seconds only."", ""Serve."")"
